股票代码,股票名称,当前价,涨跌幅,市值,市盈率
VRX,凡利亚药品国际,17.53,2.04,5.9930792E9,2.52
UGA,美国汽油基金,34.04,2.04,4.6704E7,50.55
ENLC,"EnLink Midstream, LLC Common Units representing Limited Partner Interests",15.0,2.04,2.6589855E9,12.56
CVNA,Carvana Co. Class A,29.97,2.04,5.729878E8,
CVEO,Civeo Corporation (Canada),4.0,2.04,5.288363E8,
CRTO,Criteo S.A. - American Depositary Shares,28.11,2.03,1.8181122E9,20.56
UTMD,犹他医疗产品,108.65,2.02,3.967938E8,46.71
ACIU,AC Immune SA,10.63,2.02,5.976411E8,
OBCI,"Ocean Bio-Chem, Inc.",3.57,2.0,3.2391E7,12.5
NRT,北欧石油信托,8.67,2.0,7.812E7,11.18
NGL,NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,12.75,2.0,1.5135458E9,
GILT,吉来特卫星网络,8.66,2.0,4.65253E8,70.75
ELY,卡罗韦高尔夫,16.81,2.0,1.5762897E9,39.24
CPST,凯普斯通涡轮,1.53,2.0,8.11214E7,
OCFC,OceanFirst Financial Corp.,26.6,0.3,1.275529E9,20.72
LCA,"Landcadia Holdings, Inc.",10.08,0.3,2.5125E8,
KIM,金克地产,13.37,0.3,5.663922E9,15.32
GDO,Western Asset Global Corporate Defined Opportunity Fund Inc. Western Asset Global Corporate Defined Opportunity Fund Inc.,16.7,0.3,2.4876E8,
FHLC,Fidelity MSCI Health Care Index ETF,40.31,0.3,1.097187E9,
FDLO,Fidelity Low Volatility Factor ETF,30.37,0.3,5.60162E7,
FAAR,另类绝对回报策略ETF-First Trust,29.74,0.3,8895100.0,
DNB,邓白氏,116.82,0.3,4.319265E9,30.57
CPLP,Capital Product Partners L.P.  representing limited partner interests,3.29,0.3,4.173691E8,14.91
CMRE-B,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),23.47,0.3,4.68E7,10.01
CMP,Compass Minerals Intl Inc,67.9,0.3,2.2904139E9,54.16
CLNS-G,"NorthStar Asset Management Group, Inc. 7.50% Series G cumulative redeemable perpetual preferred stock",23.36,0.3,8.03505E7,
CAPE,席勒CAPE基金-Barclays ETN,118.12,0.3,9.80233E7,
CALM,"Cal-Maine Foods, Inc.",49.85,0.3,2.1784649E9,81.48
TTFS,Wilshire回购ETF-AdvisorShares,68.34,0.29,1.039059E8,
TRV,旅行者保险,137.24,0.29,3.898138418372E10,13.96
STZ,星座品牌,228.25,0.29,3.90028026E10,24.79
SAN,桑坦德银行,6.8,0.29,1.094031213E11,9.11
RTH,零售业ETF-VanEck Vectors,93.89,0.29,6.75497E7,
REX,REX American Resources Corporation,75.29,0.29,4.876936E8,12.47
QCP,"Quality Care Properties, Inc.",20.59,0.29,1.9252856E9,
PGRE,"Paramount Group, Inc.",14.01,0.29,3.3598724E9,37.76
ODT,"Odonate Therapeutics, Inc.",20.69,0.29,5.638474E8,
NCV,安联可转债收益基金1期,6.8,0.29,5.967645E8,4.29
LBRDA,Liberty Broadband Corporation,82.7,0.29,2.1690807E9,13.36
IYH,iShares U.S. Healthcare ETF,174.43,0.29,1.808768E9,378.09
IWL,iShares Russell Top 200 ETF,61.42,0.29,1.347368E8,
GOOD,格拉德斯通商业,17.19,0.29,4.871207E8,
FSB,"Franklin Financial Network, Inc.",34.0,0.29,4.823438E8,16.62
EQY,Equity One,30.94,0.29,4.5967212E9,63.32
EQWL,PowerShares Russell Top 200 Equal Weight Portfolio,52.74,0.29,6.04785E7,10.15
EP-C,El Paso Corporation Preferred Stock,47.74,0.29,2.103699E8,
DHIL,钻石山投资,200.69,0.29,7.022664E8,13.82
COMT,iShares Commodities Select Strategy ETF,38.45,0.29,6.21108E8,
CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,45.53,0.29,6.8781E8,
BIO,Bio Rad实验室,261.44,0.29,6.4391628E9,64.05
AHP,"Ashford Hospitality Prime, Inc.",10.38,0.29,3.324442E8,20.29
AEL,American Equity Investment Life Holding Company,30.9,0.29,2.7692096E9,15.72
XRAY,Dentsply Sirona,49.48,0.28,1.12183454E10,
VCR,可选消费ETF-Vanguard,161.36,0.28,2.6562073E9,6.75
TVC,田纳西河谷管理局高级债,24.98,0.28,2.72383E8,
SPYD,SPDR Series Trust SPDR Portfolio S&P 500 High Dividend ETF,35.78,0.28,4.8168E8,
SLTB,Scorpio Bulkers Inc. 7.50% Senior Notes due 2019,25.37,0.28,6.578E7,
SBUX,星巴克,58.16,0.28,8.1749696E10,19.19
PK,Park Hotels & Resorts Inc.,28.68,0.28,5.7512889E9,2.31
PGR,Progressive ,61.22,0.28,3.555552E10,22.36
NXEO,"Nexeo Solutions, Inc.",10.71,0.28,9.584372E8,
MSCI,MSCI明晟,150.01,0.28,1.34446882E10,45.19
MMYT,MakeMyTrip,35.45,0.28,1.863164E9,
LNTH,"Lantheus Holdings, Inc.",17.6,0.28,6.644555E8,
JAG,Jagged Peak Energy Inc.,14.48,0.28,3.0775439E9,
IVOV,Vanguard S&P Mid-Cap 400 Value ETF,120.0,0.28,6.64113E8,
IVH,Ivy High Income Opportunities Fund  of Beneficial Interest,14.2,0.28,2.3459E8,
FRA,FRA基金,14.5,0.28,5.383818E8,10.33
ECCA,Eagle Point Credit Company Inc. Series A Term Preferred Stock due 2022,25.45,0.28,4.61317E7,
DTJ,DTE Energy Company 2016 Series B 5.375% Junior Subordinated Debentures due 2076,24.75,0.28,2.9616E8,
DHS,高红利ETF-WisdomTree,68.42,0.28,1.0132155E9,
CPHC,坎特伯雷帕克控股,14.5,0.28,6.42932E7,15.55
XTN,SPDR S&P Transportation ETF,63.42,0.27,2.308625E8,
VPU,公用事业ETF-Vanguard,111.89,0.27,2.5714877E9,11.95
UNG,美国天然气基金,22.62,0.27,3.267723E8,
TDY,Teledyne Technologies,198.87,0.27,7.0802987E9,31.68
SPE,"Special Opportunities Fund, Inc",14.99,0.27,1.271586E8,23.84
RYH,PowerShares S&P 500 Equal Weight Health Care Portfolio,179.9,0.27,6.27935E8,
POL,普立万,44.42,0.27,3.5423589E9,21.0
PCM,"PCM Fund, Inc.",11.31,0.27,1.305572E8,11.51
PARR,"Par Pacific Holdings, Inc.",18.29,0.27,8.331092E8,11.62
ORC,"Orchid Island Capital, Inc.",7.43,0.27,3.93457E8,148.2
MYY,做空中型股-ProShares,11.13,0.27,1.19325E7,
MFG,瑞穗金融,3.65,0.27,4.62091538E10,6.44
MFC,宏利金融,18.87,0.27,3.73204997E10,24.13
MFA,"MFA Financial, Inc.",7.49,0.27,2.9762474E9,9.46
MCN,麦迪逊基金,7.34,0.27,1.410449E8,
MCF,Contango Oil & Gas Company,3.68,0.27,9.3475E7,
LPX,路易斯安那太平洋,29.93,0.27,4.3293114E9,11.18
ISSC,创新软件,3.75,0.27,6.29838E7,12.9
IRM,爱恩铁山,33.43,0.27,9.512287E9,48.32
INSI,Insight精选收益基金,18.76,0.27,2.003848E8,
IDV,国际红利股ETF-iShares,34.03,0.27,4.873784E9,
FTF,富兰克林有限久期收益信托,11.15,0.27,2.513579E8,10.11
FLQG,Franklin LibertyQ Global Equity ETF,29.99,0.27,1.7946E7,
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,40.41,0.27,4.73525E8,
CR,Crane Company,95.34,0.27,5.676009E9,33.48
CPK,切萨皮克气业,74.95,0.27,1.2230386E9,21.06
BTA,BTA信托,11.27,0.27,1.508661E8,10.11
ADX,亚当斯快递,14.95,0.27,1.5157948E9,64.83
VCV,范·卡本加州市政债券价值收益基金,11.68,0.26,5.574397E8,11.2
UTSL,Direxion Daily Utilities Bull 3X Shares,23.33,0.26,5817500.0,
