股票代码,股票名称,当前价,涨跌幅,市值,市盈率
QINC,First Trust RBA Quality Income ETF,24.34,0.16,2.9154E7,
PXMV,PowerShares Russell Midcap Pure Value Portfolio,30.63,0.16,4.58685E7,13.5
PVI,PowerShares VRDO Tax Free Weekly Portfolio,24.9,0.16,6.22E7,
PRE-F,PartnerRe Ltd. Redeemable Preferred Shares Series F (Bermuda),25.2,0.16,6.74063E7,9.14
PERY,佩里埃利斯国际,25.78,0.16,4.083136E8,6.99
OHI,"Omega Healthcare Investors, Inc.",25.4,0.16,5.0362314E9,49.73
NXN,Nuveen New York Select Tax-Free Income Portfolio,12.72,0.16,4.98345E7,20.48
NMT,纽文马萨诸塞市保基金,12.9,0.16,1.204043E8,14.64
NIQ,Nuveenn Intermediate Duration Quality Municipal Term Fund  of Beneficial Interest,12.48,0.16,1.631904E8,
NEE-HL,NEE-HL,25.18,0.16,0.0,
NASDAQ,纳斯达克综合指数,5870.75,0.16,0.0,
MNE,贝莱德纽约中期市政债基金,12.67,0.16,5.32545E7,14.54
MHK,Mohawk Industries,235.94,0.16,1.75578761E10,18.02
MGV,Vanguard Mega Cap Value ETF,75.3,0.16,1.9230907E9,
MANT,美泰科技,60.98,0.16,1.6018377E9,20.92
KTN,Structured Products Corp 8.205% CorTS 8.205% Corporate Backed Trust Securities (CorTS),31.35,0.16,5.02896E7,
JHMH,John Hancock Multifactor Healthcare ETF,31.15,0.16,4.10507E7,
JHMF,John Hancock Multifactor Financials ETF,37.27,0.16,6.92106E7,
IVE,标普500价值股ETF-iShares,110.85,0.16,1.5360996E10,81.38
IBMJ,iShares iBonds Dec 2021 Term Muni Bond ETF,25.27,0.16,1.829538E8,
IBCD,iShares iBonds Mar 2020 Term Corporate ex-Financials Term ETF,24.35,0.16,9.35935E7,
GSBD,高盛BDC基金,19.26,0.16,7.721708E8,
GMLPP,GOLAR LNG PARTNERS,25.68,0.16,1.415328E8,
GIM,邓普顿全球收益基金,6.42,0.16,8.598641E8,16.44
FGB,第一信托特色金融行业机会基金,6.09,0.16,8.72162E7,
FDIV,First Trust Strategic Income ETF,49.03,0.16,9.30146E7,
FBMS,第一银行股份,32.0,0.16,3.942468E8,28.78
EXPD,康捷国际物流,64.3,0.16,1.12445489E10,23.87
DTD,WisdomTree U.S. Total Dividend Fund,89.59,0.16,5.81425E8,
DRUA,"Dominion Energy, Inc. 2016 Series A 5.25% Enhanced Junior Subordinated Notes due 2076",24.63,0.16,7.8688E8,
DOGS,Arrow Dogs of the World ETF,50.27,0.16,5018500.0,
CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,45.21,0.16,9.93124E7,
CPTAG,Capitala Finance Corp. - 5.75% Convertible Notes Due 2022,24.79,0.16,4.95E7,
CLRG,IQ Chaikin U.S. Large Cap ETF,25.47,0.16,3.22961E8,
CARA,"Cara Therapeutics, Inc.",12.36,0.16,4.033975E8,
BFK,贝莱德市政债收益信托,12.79,0.16,5.723058E8,10.82
AUNZ,澳洲新西兰债券基金-WisdomTree,18.3,0.16,1.4632E7,
AL,Air Lease Corp,42.78,0.16,4.4396392E9,6.26
AGO-E,Assured Guaranty Ltd.,25.21,0.16,2.31564E8,
AFGH,"American Financial Group, Inc. 6% Subordinated Debentures due 2055",25.64,0.16,1.536E8,
AFA.L,AFA.L,25.03,0.16,0.0,
ABR-A,Arbor Realty Trust Preferred Series A,25.69,0.16,3.9796E7,
YORW,The York Water Company,32.4,0.15,4.167009E8,32.03
TY,Tri Continental Corporation,26.76,0.15,1.4634059E9,80.97
TMK-C,Torchmark Corporation 6.125% Junior Subordinated Debentures due 2056,26.13,0.15,3.1308E8,
SPDV,AAM S&P 500 High Dividend Value ETF,26.18,0.15,5227000.0,
SON,Sonoco Products Company,51.83,0.15,5.1523569E9,29.74
PUB,People's Utah Bancorp,32.8,0.15,6.115811E8,30.32
PRE-G,"PartnerRe Ltd. 6.50% Series G Cumulative Redeemable Preferred Shares, $1.00 par value",26.62,0.15,1.705177E8,
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),32.32,0.15,1.62437766E10,21.51
OGE,OGE Energy Corporation,32.52,0.15,6.4852667E9,10.47
MYL,Mylan,40.78,0.15,2.09619112E10,31.32
MFM,MFS市政基金,6.49,0.15,2.668958E8,9.65
MDT,美敦力,80.02,0.15,1.082943369E11,39.17
LEXEA,"Liberty Expedia Holdings, Inc. - Series A",39.88,0.15,2.1679594E9,
LDOS,"Leidos Holdings, Inc.",66.23,0.15,1.00288783E10,27.79
KTP,Corts 7.625 Pfd,13.45,0.15,5.372E7,
HRB,"H&R Block, Inc.",27.14,0.15,5.6693803E9,22.77
HAL,哈利伯顿,52.04,0.15,4.54727966E10,
FEEU,Barclays ETN FI Enhanced Europe 50 ETN,128.8,0.15,4.04736E7,
EPI,印度ETF-WisdomTree,26.46,0.15,1.69088E9,
ELS,宜居生活资产信托,87.16,0.15,7.7224974E9,40.11
DVP,Deep Value ETF,33.6,0.15,1.375345E8,
DEA,"Easterly Government Properties, Inc.",20.15,0.15,9.179047E8,201.2
CYBR,Cyber-Ark软件,52.48,0.15,1.7482260928E9,68.16
BQH,BQH信托,13.12,0.15,3.66814E7,11.59
BPY,Brookfield地产合伙,19.43,0.15,4.9474465E9,40.42
BOON,NYSE Pickens Oil Response ETF,26.39,0.15,6586200.0,
AYR,爱卡索,19.74,0.15,1.547961E9,10.54
WRK,Westrock Company,66.36,0.14,1.69072778E10,9.7
WGL,WGL控股,85.45,0.14,4.382479E9,16.13
ULVM,USAA MSCI USA Value Momentum Blend Index ETF,51.82,0.14,2.458125E8,
TDG,Transdigm,328.15,0.14,1.71047305E10,25.93
RY-T,"Royal Bank Of Canada 6.750% Fixed Rate/Floating Rate Noncumulative First Preferred Shares, Series C-2",29.0,0.14,1.15832E8,
RSP,标普500等权指数ETF-Guggenheim,100.42,0.14,1.4681259E10,57.97
RBCN,卢比肯科技,6.95,0.14,1.90272E7,
NULV,NuShares ESG Large-Cap Value ETF,28.35,0.14,3.6803E7,
NTT,日本电报电话,42.9,0.14,9.08158084E10,21.13
NRIM,Northrim BanCorp Inc,35.7,0.14,2.449855E8,18.96
MPB,Mid Penn Bancorp,35.95,0.14,2.197454E8,21.5
LGND,Ligand Pharmaceuticals Incorporated,167.22,0.14,3.540688E9,315.06
KNOP,KNOT Offshore Partners LP Common Units representing Limited Partner Interests,20.83,0.14,6.800372E8,13.87
INSY,"Insys Therapeutics, Inc.",7.04,0.14,5.188758E8,
IGD,IGD基金,7.29,0.14,7.101562E8,37.56
ICLK,爱点击,7.31,0.14,3.8098891046E8,
HUM,Humana Inc.,294.54,0.14,4.06142064E10,17.5
HFXJ,IQ 50 Percent Hedged FTSE Japan ETF,22.18,0.14,3.43248E7,
GJR,"Synthetic Fixed-Income Securities, Inc. STRATS Trust for Procter&Gamble Securities, Series 2006-1",22.25,0.14,2.93304E7,
GGM,Guggenheim Credit Allocation Fund  of Beneficial Interest,21.74,0.14,1.599303E8,
GBAB,Guggenheim Taxable Municipal Managed Duration Trust  of Beneficial Interest,21.27,0.14,3.699224E8,
FTLB,First Trust Exchange-Traded Fund VI First Trust Hedged BuyWrite Income ETF,22.02,0.14,8796000.0,
FNDX,Schwab Fundamental U.S. Large Company Index ETF,37.01,0.14,4.087776E9,
FNCF,iShares Edge MSCI Multifactor Financials ETF,35.02,0.14,1.0491E7,
ERM,EquityCompass Risk Manager ETF,21.63,0.14,2.376E7,
ELKU,Elkhorn FTSE RAFI U.S. Equity Income ETF,28.78,0.14,1.107877E8,
BANC-C,加州银行优先股C,26.0,0.23,3.6316E7,
AJRD,"Aerojet Rocketdyne Holdings, Inc.",30.36,0.23,2.2886611E9,
ACCO,Acco Brands Corporation,12.83,0.23,1.3801854E9,10.76
WFC-L,"Wells Fargo & Company Wells Fargo & Company 7.50% Non-Cumulative Perpetual Convertible Class A Preferred Stock, Series L",1276.76,0.22,5.0550733E9,299.11
VYM,红利股ETF-Vanguard,83.31,0.22,2.06357953E10,
VLT,范·卡本高收益二期基金,13.78,0.22,1.116284E8,5.61
VLGEA,"Village Super Market, Inc.",27.21,0.22,2.73266E8,17.86
SJB,做空高收益债-ProShares,23.24,0.22,1.356615E8,
RBB,RBB Bancorp,27.54,0.22,4.476197E8,16.36
PKBK,帕克合众银行,23.2,0.22,1.857089E8,18.67
PFD,弗莱厄蒂克伦兰保富所得基金,13.41,0.22,1.496271E8,10.97
INVH,Invitation Homes Inc.,22.62,0.22,1.17446298E10,
IBKR,盈透证券,73.96,0.22,3.030427403012E10,64.31
HHS,哈特-汉克斯,9.3,0.22,5.76992E7,
FLSW,Franklin FTSE Switzerland ETF,23.12,0.22,2307000.0,
ECF,Ellsworth Growth and Income Fund Ltd.,9.16,0.22,1.182249E8,26.88
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares,54.69,0.22,1.009546E8,
DBBR,Xtrackers MSCI Brazil Hedged Equity ETF,13.49,0.22,5394800.0,
CH,智利封基-安本,9.17,0.22,8.6786E7,
BY,"Byline Bancorp, Inc.",22.95,0.22,6.733527E8,60.26
ADP,"Automatic Data Processing, Inc.",117.1,0.22,5.17916267E10,30.19
WBS-F,"Webster Financial Corporation Depositary Shares, Each Representing 1/1,000th Interest in a Share of 5.25% Series F Non-Cumulativ",23.64,0.21,1.4154E8,
V,VISA,124.46,0.21,2.56454584372E11,44.45
TS,Tenaris S.A.,37.68,0.21,2.21940924E10,752.0
TOT,道达尔,62.33,0.21,1.647777342E11,20.7
TMO,赛默飞世尔科技,216.35,0.21,8.68570906E10,38.55
SDOW,道指3X做空-ProShares,18.68,0.21,1.908042E8,
RYU,PowerShares S&P 500 Equal Weight Utilities Portfolio,82.45,0.21,1.35762E8,
PXLV,PowerShares Russell Top 200 Pure Value Portfolio,38.26,0.21,1.069124E8,
PFFD,Global X U.S. Preferred ETF,24.25,0.21,2.662E7,
NIB,可可ETN-iPath,33.2,0.21,4.20914E7,
NAVB,"Navidea Biopharmaceuticals, Inc.",0.2916,0.21,4.73701E7,
MAA,MAA房产信托,89.8,0.21,1.0188954E10,31.33
JRS,Nuveen Real Estate Income Fund  of Beneficial Interest,9.49,0.21,2.736117E8,11.27
ISL,以色列封基-安本,19.2,0.21,7.72877E7,10.21
INB,Cohen & Steers 全球收益积累基金,9.33,0.21,2.154527E8,24.92
HI,希伦布兰德,48.05,0.21,3.0223411E9,24.84
HEWG,德国ETF汇率对冲-iShares,28.3,0.21,6.366993E8,
GRX,The Gabelli Healthcare & Wellness Trust  of Beneficial Interest,9.54,0.21,1.885794E8,
GGT,"Gabelli Multi-Media Trust, Inc. (The)",9.38,0.21,2.278563E8,58.5
FR,第一工业地产,29.31,0.21,3.5261776E9,17.21
FLCO,Franklin Liberty Investment Grade Corporate ETF,23.82,0.21,4.0409E7,
FIV,第一信托浮动利率高级债2022年目标期限基金,9.43,0.21,3.371751E8,
EFV,EAFE价值股ETF-iShares,56.09,0.21,6.738788E9,57.7
DWPP,First Trust Dorsey Wright People's Portfolio ETF,28.64,0.21,3.14403E7,
DUSA,杜萨制药,23.82,0.21,1.11719E8,
DFNL,Davis Select Financial ETF,24.33,0.21,1.29898E8,
CCOI,"Cogent Communications Holdings, Inc.",47.4,0.21,2.1913368E9,363.85
BAX,百特,67.19,0.21,3.60599659E10,51.58
ANH,Anworth Mortgage Asset Corporation,4.7,0.21,4.606055E8,9.98
ALTY,高股息可替换策略ETF,14.52,0.21,1.3041E7,
XLRE,美国房地产ETF-SPDR,30.28,0.2,2.302764E9,
WFC+,"Wells Fargo & Company Warrants expiring October 28, 2018",19.56,0.2,0.0,
VEAC,Vantage Energy Acquisition Corp.,9.81,0.2,5.40408E8,326.33
TPGE,TPG Pace Energy Holdings Corp. Class A,10.14,0.2,6.578E8,
TEF,西班牙电信,10.14,0.2,5.25443727E10,18.23
TBX,美国7-10年国债做空-ProShares,29.43,0.2,6.1677E7,
STRA,"Strayer Education, Inc.",107.17,0.2,1.193809E9,58.13
ST,Sensata Technologies Holding plc Ordinary Shares,54.22,0.2,9.2837861E9,22.83
SBBC,Scorpio Tankers Inc. 8.25% Senior Notes due 2019,25.1,0.2,5.01E7,
PJT,PJT Partners,54.55,0.2,1.0429796E9,
PEZ,PowerShares DWA Consumer Cyclicals Momentum Portfolio,50.09,0.2,5.4989E7,8.1
OSLE,Oaktree Specialty Lending Corporation 5.875% Senior Notes due 2024,25.24,0.2,7.557E7,
OMC,宏盟,73.89,0.2,1.67603342E10,15.46
NTN,"NTN Buzztime, Inc.",5.0,0.2,1.25776E7,
MVC,"MVC Capital, Inc.",10.06,0.2,1.889581E8,41.83
MMS,马克西姆斯服务,69.87,0.2,4.5480241E9,20.81
MILN,Global X Millennials Thematic ETF,20.27,0.2,1.82025E7,
MDYV,SPDR S&P 400 Mid Cap Value ETF (based on S&P MidCap 400 Value Index--symbol: MGD,101.03,0.2,7.108515E8,10.69
JMP,JMP Group LLC,5.11,0.2,1.099141E8,
IXJ,全球医疗业ETF-iShares,112.1,0.2,1.560726E9,211.09
IDU,iShares U.S. Utilities ETF,127.25,0.2,5.9055E8,57.73
HPF,Hancock 优先收益基金2期,19.68,0.2,4.178315E8,8.43
HALL,标志金融服务,10.03,0.2,1.81872E8,
GSHT,"Gores Holdings II, Inc.",10.1,0.2,4.032E8,201.6
GAINN,Gladstone Investment Corporation - 6.50% Series C Cumulative Term Preferred Stock Due 2022,25.29,0.2,4.06364E7,15.37
FUT,管理期货策略-ProShares,39.84,0.2,2982000.0,
FIT,Fitbit,5.12,0.2,1.192612864E9,
FCOM,Fidelity MSCI Telecommunication Services Index ETF,29.52,0.2,1.20786E8,
ESQ,"Esquire Financial Holdings, Inc.",24.45,0.2,1.816756E8,42.07
EMIH,新兴市场美元债-利率对冲-德银X-trackers,25.1,0.2,8767500.0,
DOG,做空道指-ProShares,14.93,0.2,2.3989E8,
DNJR,点牛金融,4.9,0.2,7.1295E7,
COO,库珀医疗,225.58,0.2,1.10359045E10,64.5
BPK,BPK信托,14.95,0.2,2.373478E8,12.97
BLW,BLW信托,15.02,0.2,5.546878E8,10.27
BJZ,BJZ信托,14.8,0.2,9.50416E7,14.48
BCAC,Bison Capital Acquisition Corp. - Ordinary Shares,9.98,0.2,7.94702E7,
ARR-A,Armour Residential REIT INC Preferred Series A,25.2,0.2,5.48414E7,
AHPA,Avista Healthcare Public Acquisition Corp. - Class A Ordinary Shares,10.04,0.2,3.1062E8,
ACXM,艾克希姆,25.55,0.2,2.0060278E9,212.5
XLY,可选消费ETF-SPDR,103.18,0.19,1.32899039E10,11.03
WABC,Westamerica Bancorporation,57.29,0.19,1.5204734E9,28.88
TWO,Two Harbors Investment Corp,15.73,0.19,2.7543012E9,9.81
TTEK,"Tetra Tech, Inc.",51.5,0.19,2.8707336E9,21.51
TGNA,TEGNA Inc,10.65,0.19,2.2920346E9,5.16
SPXU,标普500-3X空-ProShares,10.71,0.19,4.586633E8,
SC,桑坦德美国消费金融,15.71,0.19,5.6543372E9,4.75
RWM,做空美国小盘股-ProShares,41.14,0.19,2.737323E8,
RVNU,Xtrackers Municipal Infrastructure Revenue Bond ETF,26.25,0.19,5.764E7,
FSIC,FS投资基金,7.5,1.35,1.8183681E9,7.25
EGPT,埃及ETF-Market Vectors,39.84,1.35,8.54982E7,
CDXS,"Codexis, Inc.",11.25,1.35,5.847176E8,
CADE,凯斯金融,28.62,1.35,2.36157E9,22.59
BPL,巴克艾,40.65,1.35,5.8934401E9,12.08
PCG-G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,20.41,1.34,3.05448E7,
HUD,Hudson Ltd. Class A,15.08,1.34,5.865363E8,
FOSL,福斯尔,14.37,1.34,6.897912E8,
WMB,Williams Companies,25.85,1.33,2.11121421E10,9.74
ORA,奥玛特科技,58.49,1.33,2.9258875E9,18.86
IMAX,IMAX Corp.,22.9,1.33,1.47891598E9,228.5
EGLT,Egalet Corporation,0.639,1.33,3.33469E7,
DJCO,Daily Journal Corp. (S.C.),229.27,1.33,3.123938E8,20.42
BPT,BP Prudhoe Bay信托,22.85,1.33,4.8257E8,8.51
TEAM,Atlassian,58.98,1.32,1.312113315E10,
RBA,里奇兄弟拍卖,33.03,1.32,3.5033596E9,47.25
NDP,"Tortoise Energy Independence Fund, Inc.",12.32,1.32,1.776272E8,
MRC,MRC Global Inc.,19.2,1.32,1.7463497E9,70.19
MFINL,Medallion Financial Corp. - 9.000% Notes due 2021,25.38,1.32,3.006E7,
DBE,能源商品基金-PowerShares,16.09,1.32,1.969126E8,
SNHNL,Senior Housing Properties Trust - 6.25% Senior Notes Due 2046,25.53,1.31,2.52E8,
SDT,Sandridge密西西比信托,0.8801,1.31,2.4332E7,0.46
SBBP,Strongbridge Biopharma plc - Ordinary Shares,7.75,1.31,3.483185E8,
MMLP,Martin Midstream Partners L.P.  Representing Limited Partnership Interests,15.5,1.31,5.879149E8,34.77
HNRG,Hallador能源,6.98,1.31,2.063949E8,6.38
GD,通用动力,226.04,1.31,6.65041449E10,23.34
CZNC,市民北方,24.83,1.31,3.005976E8,22.28
BOKF,BOK银行,103.41,1.31,6.6823976E9,19.97
VIAB,维亚康姆B,31.06,1.3,1.08202489E10,8.81
TPC,Tutor Perini Corporation,21.78,1.3,1.0731296E9,7.36
SMFG,三井住友银行,8.55,1.3,5.96895111E10,6.3
GCP,GCP Applied Technologies Inc.,31.1,1.3,2.2096301E9,3.97
FCCO,第一社区,23.3,1.3,1.748106E8,27.71
DGX,奎斯特诊疗,99.44,1.3,1.33318165E10,17.5
BNFT,"Benefitfocus, Inc.",27.2,1.3,8.412494E8,
SBGL.R*,SBGL.R*,2.36,1.29,0.0,
PGNX,普罗基尼克斯制药,7.09,1.29,5.086339E8,
MCY,默邱利通用,49.4,1.29,2.6985454E9,18.61
GRPN,Groupon,4.7,1.29,2.6417478658E9,
FNHC,Federated National Holding Company,17.22,1.29,2.231502E8,28.33
BLPH,"Bellerophon Therapeutics, Inc.",2.35,1.29,1.330965E8,
VREX,Varex Imaging Corporation,37.09,1.28,1.3827E9,26.73
NOVN,"Novan, Inc.",3.17,1.28,8.15013E7,
MHLD,"Maiden Holdings, Ltd.",7.9,1.28,6.485543E8,
KBWR,区域银行ETF-PowerShares KBW,57.6,1.28,1.734535E8,
HIE,Miller/Howard High Income Equity Fund  of Beneficial Interest,11.91,1.28,1.579479E8,
GWB,"Great Western Bancorp, Inc.",40.3,1.28,2.3434794E9,17.23
CDTX,"Cidara Therapeutics, Inc.",3.95,1.28,8.10075E7,
BOFI,BofI控股,41.78,1.28,2.64464792928E9,22.46
BCBP,BCB银行,15.85,1.28,2.356183E8,20.87
BBBY,Bed Bath & Beyond Inc.,17.36,1.28,2.4081357E9,5.64
ZTO,中通快递,16.69,1.27,1.1856222396E10,24.53
UMPQ,Umpqua Holdings Corporation,23.99,1.27,5.2227211E9,18.8
TPOR,Direxion Daily Transportation Bull 3X Shares,32.76,1.27,9705000.0,
SJI,"South Jersey Industries, Inc.",30.4,1.27,2.5180114E9,
ISDR,Issuer Direct Corporation,16.0,1.27,4.80703E7,25.56
EQGP,"EQT GP Holdings, LP Common Units representing limited partner interests",24.78,1.27,6.5130576E9,24.97
DO,戴蒙德海底钻探,19.21,1.27,2.6053962E9,145.92
DGZ,黄金做空-PowerShares,13.51,1.27,1.20073E7,
CLNC,"Colony NorthStar Credit Real Estate, Inc. Class A",19.19,1.27,1.5820853E9,379.0
BBRG,Bravo Brio饭店,4.0,1.27,6.04153E7,
PHI,菲律宾长途电话,26.61,1.26,5.6779458E9,14.13
OILK,ProShares K-1 Free Crude Oil Strategy ETF,25.0,1.26,9876000.0,
OFIX,Orthofix International N.V.,59.6,1.26,1.0833385E9,173.12
MTECU,MTech Acquisition Corp,10.45,1.26,5.3922E7,
MEDP,"Medpace Holdings, Inc.",37.1,1.26,1.3061176E9,24.11
HES,Hess Corporation,58.54,1.26,1.82132495E10,
ZYME,Zymeworks Inc.,12.13,1.25,3.050283E8,
URBN,"Urban Outfitters, Inc.",38.83,1.25,4.1629096E9,39.95
SAVE,"Spirit Airlines, Inc.",38.91,1.25,2.6227963E9,6.34
PEBK,北加利福尼亚国民银行,31.61,1.25,1.871719E8,18.47
NFTY,First Trust India Nifty 50 Equal Weight ETF,38.1,1.25,1881600.0,
LB,维多利亚的秘密,34.8,1.25,9.5824468E9,10.05
KEYS,Keysight Technologies Inc.,54.23,1.25,1.00447841E10,124.56
EBSB,莫里迪恩洲际合众银行,20.2,1.25,1.078674E9,24.33
ASC,Ardmore Shipping Corporation,8.1,1.25,2.595633E8,
WAFD,"Washington Federal, Inc.",32.55,1.24,2.7246869E9,14.68
VCTR,"Victory Capital Holdings, Inc.",10.59,1.24,1.349268E8,24.33
USO,美国原油基金,13.92,1.24,2.189E9,
TRHC,"Tabula Rasa HealthCare, Inc.",41.5,1.24,8.20353E8,53.93
PXD,先锋自然资源,197.37,1.24,3.324435E10,40.2
HWBK,"Hawthorn Bancshares, Inc.",21.97,1.24,1.258168E8,36.78
HLM-,Hillman Group Capital Trust Preferred Stock,34.4,1.24,1.433351E8,
CFG,"Citizens Financial Group, Inc.",42.5,1.24,2.04743602E10,12.92
UGI,UGI Corporation,46.9,1.23,8.015753E9,11.58
OVBC,俄亥俄河谷银行,45.1,1.23,2.102663E8,27.84
NKE,耐克,66.9,1.23,1.088097472E11,28.95
GPS,GAP,28.79,1.23,1.10720067E10,13.29
DATA,Tableau Software,84.85,1.23,6.62425219224E9,
USAC,"USA Compression Partners, LP Common Units Representing Limited Partner Interests",19.03,1.22,1.7644302E9,117.5
TMHC,Taylor Morrison Home Corporation Class A,23.26,1.22,2.5578624E9,15.63
RIG,Transocean,12.49,1.22,5.6826563E9,
LPSN,"LivePerson, Inc.",16.55,1.22,9.831341E8,
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,21.53,1.22,2.5354967E9,
IRWD,Ironwood医药,17.49,1.22,2.3778436E9,
INTU,财捷,180.3,1.22,4.56210638E10,48.14
FRBK,共和国第一万通金控,8.3,1.22,4.67543E8,54.67
FMBH,"First Mid-Illinois Bancshares, Inc.",36.48,1.22,4.567709E8,16.92
EUO,欧元2X做空-ProShares,20.71,1.22,1.87209E8,
CXDC,鑫达集团,4.15,1.22,2.046916286E8,2.9
TIBRW,Tiberius Acquisition Corporation,0.58,1.75,0.0,
RRR,"Red Rock Resorts, Inc.",30.74,1.75,2.0457356E9,71.93
CUTR,古特拉,52.2,1.75,6.968065E8,25.15
URR,Market Vectors Double Long Euro ETN,19.9,1.74,586800.0,
REPH,"Recro Pharma, Inc.",11.69,1.74,2.240396E8,
NYCB,"New York Community Bancorp, Inc.",12.86,1.74,6.1963088E9,14.04
KEYW,KEYW控股,8.19,1.74,4.014894E8,
JMF,Nuveen Energy MLP Total Return Fund  of Beneficial Interest,10.51,1.74,4.157538E8,
JCAP,"Jernigan Capital, Inc.",18.74,1.74,2.661145E8,16.75
DZZ,黄金2X做空-DB,5.27,1.74,2.22719E7,
CLR,大陆能源,64.94,1.74,2.40062704E10,30.25
HNNA,"Hennessy Advisors, Inc.",19.99,1.73,1.53382E8,7.96
GYC,"Corporate Asset Backed Corp CABCO Corporate Asset Backed Corporation CABCO Series 2004-102 Trust (SBC Communications, Inc.) Coll",22.95,1.73,2.93215E7,
DXJF,日本金融业ETF-汇率对冲-WisdomTree,25.25,1.73,4.2194E7,
AROW,箭牌金融,35.35,1.73,4.846286E8,16.55
AHT,阿什福德信托,7.04,1.73,6.792249E8,
USPH,"U.S. Physical Therapy, Inc.",94.45,1.72,1.1765382E9,52.76
MLCO,新濠博亚娱乐,31.95,1.72,1.54791542E10,44.87
WSFS,WSFS Financial Corporation,50.45,1.71,1.557682E9,31.79
TORC,"Restorbio, Inc.",8.92,1.71,2.459662E8,
SMG,Scotts Miracle-Gro Company (The),84.04,1.71,4.7036666E9,20.92
LVHE,Legg Mason Emerging Markets Low Volatility High Dividend ETF,28.48,1.71,6720000.0,
DSW,DSW鞋类专卖,21.4,1.71,1.5147221E9,25.35
BNSO,恒星电子国际,2.98,1.71,1.41862E7,5.52
ACY,AeroCentury Corp.,14.85,1.71,2.06838E7,2.86
M,梅西百货,30.47,1.7,9.1662572E9,5.94
ISTR,Investar Holding Corporation,26.85,1.7,2.512366E8,27.5
AAP,Advance Auto Parts,105.52,1.7,7.6789815E9,16.16
OLO,"DB Crude Oil Long Exchange Traded Notes due June 1, 2038",6.02,1.69,7712100.0,
ANDX,Andeavor Logistics LP Common Units representing Limited Partner Interests,48.62,1.69,1.03826311E10,22.66
XOG,"Extraction Oil & Gas, Inc.",13.94,1.68,2.4068753E9,
TNK,Teekay Tankers Ltd.,1.21,1.68,2.751205E8,7.0
SPXC,SPX Corporation,32.69,1.68,1.3809831E9,16.83
NFX,新地勘探,28.38,1.68,5.5748277E9,24.7
NE,Noble Corporation Ordinary Shares (UK),4.84,1.68,1.1746548E9,
HZNP,Horizon Pharma plc,13.94,1.68,2.2618145E9,
CIA,公民保险,7.88,1.68,3.803709E8,
UBNK,"United Financial Bancorp, Inc.",17.08,1.67,8.563602E8,14.87
MXWL,Maxwell技术,5.49,1.67,1.7617397373E8,
INTG,The Intergroup Corporation,24.4,1.67,5.65224E7,
BNO,美国布伦特原油基金,20.69,1.67,9.46275E7,8.21
AVXS,"AveXis, Inc.",209.92,1.67,7.6018199E9,
ACU,Acme United Corporation.,21.86,1.67,7.25423E7,19.2
VALU,"Value Line, Inc.",21.44,1.66,2.045051E8,14.25
TIF,蒂芙尼,100.48,1.66,1.23060108E10,33.39
PSMB,PowerShares Balanced Multi-Asset Allocation Portfolio,13.47,1.66,1325000.0,
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.73,1.66,9.20181855E10,
HK,Halcon Resources Corporation,5.52,1.66,8.713609E8,1.49
DCP,戴恩国际,36.13,1.66,5.0932313E9,82.65
BBY,百思买,73.5,1.66,2.148599775E10,22.55
NCSM,"NCS Multistage Holdings, Inc.",18.49,1.65,8.118397E8,363.8
EEQ,安桥能源管理有限责任,9.87,1.65,8.719465E8,
DEPO,"Depomed, Inc.",6.79,1.65,4.242874E8,
ATRA,"Atara Biotherapeutics, Inc.",40.15,1.65,1.5336205E9,
EEV,新兴市场2X做空-ProShares,8.07,1.64,1.44488E7,
CRI,卡特,105.09,1.64,4.8747812E9,16.57
WWW,沃尔弗林集团,29.34,1.63,2.7498155E9,35.73
SMM,Salient Midstream  of Beneficial Interest,9.98,1.63,1.740522E8,
CCNE,CNB金融,29.35,1.63,4.414493E8,18.39
NVCR,NovoCure Limited - Ordinary Shares,25.05,1.62,2.2283329E9,
MLPZ,"UBS AG ETRACS ETRACS 2xMonthly Leveraged S&P MLP Index ETN Series B due February 12, 2046",36.4,1.62,4.63869E7,
LUK,卢卡迪亚国民,24.41,1.62,8.5803259E9,53.38
IDA,"IDACORP, Inc.",90.52,1.62,4.4914151E9,21.16
FITB,五三银行,31.93,1.62,2.1584973E10,11.1
ERF,艾诺加能源基金,11.89,1.62,2.863135E9,15.39
CTRN,"Citi Trends, Inc.",30.77,1.62,4.166597E8,29.4
Z,Zillow,47.94,1.61,8.821084644E9,
UIHC,United Insurance Holdings Corp.,19.52,1.61,8.211495E8,71.15
MINI,"Mobile Mini, Inc.",44.1,1.61,1.9364337E9,15.17
MIE,Cohen & Steers MLP收益和能源机会基金,10.09,1.61,2.660579E8,259.0
ANAB,"AnaptysBio, Inc.",93.15,1.61,2.1826548E9,
TLF,"Tandy Leather Factory, Inc.",7.62,1.6,6.95315E7,15.63
LHO-I,LaSalle Hotel Properties 6.375% Series I Cumulative Redeemable Redeemable Preferred SBI,24.75,1.6,1.07184E8,
CUO,Continental Materials Corporation,19.0,1.6,3.17536E7,17.31
